user_pseudo_id,cnt_user_engagement,cnt_level_start_quickplay,cnt_level_end_quickplay,cnt_level_complete_quickplay,cnt_level_reset_quickplay,cnt_post_score,cnt_spend_virtual_currency,cnt_ad_reward,cnt_challenge_a_friend,cnt_completed_5_levels,cnt_use_extra_steps
830461B02C9A488AFF82BA7AA8C58052,19,3,0,0,2,2,0,0,0,0,0
DAD2E26F6C0E4C6631490AC31BF2DBC8,26,0,0,0,0,4,0,0,0,0,0
233802C609947F33DB7CFEFBBC7AEA2E,1,1,0,0,0,0,0,0,0,0,0
EEA7994C33475920620AC49055AA96D8,20,0,0,0,0,5,1,0,0,1,1
59C79351BA65506A00F8F940CC9EB337,37,0,0,0,0,8,3,0,0,1,3
DB8E1187DDC1B1EA10231A3F0739CCC6,17,20,0,0,19,1,0,0,0,0,0
AE8C5B88EC732EC72933B18ECD6C57E5,1,1,0,0,0,0,0,0,0,0,0
A64CA7941E040C69E34F7AA338DA8239,4,2,0,0,1,0,0,0,0,0,0
BAA42D2D94CD8312B6A7F08A576F6A8C,4,0,0,0,0,0,0,0,0,0,0
5261C4CF856996E55235DA15FAF98CED,2,1,0,0,0,0,0,0,0,0,0
2F0F260BD7B876C346B41977D0D03D62,78,23,20,8,0,8,1,0,0,0,1
046CC8D512A010F60CB1EB26AAE41757,21,0,0,0,0,6,0,0,0,1,0
5BDEA4C55EFDF16308475E1ACA152767,16,3,2,0,0,0,1,0,0,0,1
D1FDE2A7EAF350A6C080F1EF4D93AAED,10,0,0,0,0,0,0,0,0,0,0
CDFD94DA480631BEB80E66BC36103CB7,10,2,1,0,0,0,0,0,0,0,0
72E752D33E3C79FDBC5525C86DFD2A75,15,4,3,2,0,2,0,0,0,0,0
0EFF72F3A7E2118F0B938C4595B4166D,11,2,2,0,0,0,0,0,0,0,0
0D7E6A9FF070DCA32C538BB891E6105C,1,0,0,0,0,0,0,0,0,0,0
35D7E0527C5BC0E5044EF3716C845E08,125,17,9,3,3,20,0,0,0,2,0
47A8CC215AA66ED9190E8E11879B8502,20,2,1,1,0,5,0,0,0,0,0
981D17AB0CBEB4ECB541405924D95A0E,1,0,0,0,0,0,0,0,0,0,0
3C871B56B2654F95B13DB5388E58DDF9,8,0,0,0,0,1,0,0,0,0,0
0043CF8841C819015ACD25710D333113,20,0,0,0,0,3,0,0,0,0,0
D9563E61AC76501942B6B3B4EBA2BFE4,50,0,0,0,0,10,3,0,0,2,3
15580E78B3CF93AA028B5376350129FD,148,3,1,0,0,7,4,0,0,1,4
09E3CDA2CDDE4036C1DB9C5A61266AA7,7,1,0,0,0,0,0,0,0,0,0
7F612B35D4079BD4E6B345377244FF0E,7,2,2,0,0,0,0,0,0,0,0
8FBA68B371BCD408B4E1CCD4A3ABE3D1,14,0,0,0,0,1,0,0,0,0,0
0ACC974614DA3BB6989585D9E27A58EB,1,1,0,0,0,0,0,0,0,0,0
B4E7C450E25659D0193A97157D730CC5,15,3,2,1,0,1,1,0,0,0,1
590DF903B5DE58590E109754EDB79809,36,0,0,0,0,6,0,0,0,1,0
925AA03300156F1CBB7F21DF6A7EF36A,8,3,1,0,0,0,0,0,0,0,0
D69E56007AA13CE22FC300BECB0BEECB,1,0,0,0,0,0,0,0,0,0,0
F5399EDCBD933CB1A80F4975D796F98B,25,11,5,0,6,0,0,0,0,0,0
3754166443959F05A77112BEB2A31517,1,0,0,0,0,0,0,0,0,0,0
2F20E30308B56FBA226F534A445A1E5B,5,0,0,0,0,0,0,0,0,0,0
FA6792A98525E54CAA1F833F500F0477,9,2,1,0,1,0,0,0,0,0,0
E79E1248F975BD0902AFB7C300D1D794,11,5,0,0,4,0,0,0,0,0,0
716EEB4171114A58FBE5A95255BB67B6,6,0,0,0,0,0,0,0,0,0,0
B00A5CBF254E59E04D1BC4CCC95043C0,3,0,0,0,0,0,0,0,0,0,0
35B0FBF03492417ED0C50F0CE6FD3768,6,2,1,1,0,1,1,0,0,0,1
1025F68A65488C13C81112C08A2A8A6A,8,2,2,0,0,0,0,0,0,0,0
05AFD9CC6BE47271BCD774268D50ACCC,25,8,7,4,0,4,1,0,0,0,1
43EB2EA474E77679E6F87494A58E341E,31,11,11,9,0,9,0,0,0,0,0
DABC5234774C4E18EF0B59DE32DEFD2D,114,38,34,13,3,13,0,0,0,0,0
01A2266B0F0188829C230F90721CE95D,1,1,0,0,0,0,0,0,0,0,0
9F4D110D6ED476B6CB3B8C8F3031B9AC,13,3,3,1,0,1,1,0,0,0,0
39F507C9C69C087720D210B1D13788B5,12,8,2,0,5,0,0,0,0,0,0
9E0EAF2829B764D79D3D939DD81C850C,3,1,0,0,0,1,0,0,0,0,0
97E7144B7FA861C3C8DB7424D7039832,29,11,4,1,3,3,0,0,0,0,0
8320FC247A1967E7C0CDFC1502241310,38,0,0,0,0,4,0,0,0,0,0
C3D7BA97E184ABF0A446F35DE12BACF9,3,0,0,0,0,0,0,0,0,0,0
6FB0DC4B3B77B4945CCC153EB01DE168,9,0,0,0,0,3,0,0,0,1,0
A94C6A328773A5C3E5BCCC524A253310,2,0,0,0,0,0,0,0,0,0,0
AE0B44FF5C6C9397C6FF32635328E83E,1,0,0,0,0,0,0,0,0,0,0
BF77633BE8375F4A32984B692B4D8942,7,2,1,0,0,0,0,0,0,0,0
AFE22459EBDA201861C54CDFF294D8F9,6,6,0,0,5,0,0,0,0,0,0
6933934F877244F44E681554B2BE6CED,2,0,0,0,0,0,0,0,0,0,0
B993935197C496DF102FE8D0FE8527E2,10,0,0,0,0,0,0,0,0,0,0
CF47EB1BF0FD3A0CF7AB508DBC4DC30F,6,3,2,1,1,1,0,0,0,0,0
93C2529FAD40263384413CE9630B308E,5,2,2,2,0,2,0,0,0,0,0
50F9ECC02D5198369DEC190502867F73,2,0,0,0,0,0,0,0,0,0,0
048D461F5F6A2437E33E1896ABD1507A,4,0,0,0,0,0,0,0,0,0,0
A3E7A4F5F17B939815676C18FA71848F,10,7,0,0,6,0,0,0,0,0,0
5C4773A411EA7DA0CE90122B51F37E5D,3,1,1,0,0,0,0,0,0,0,0
C4F90DFDAD361A1A49BDF60E74F9145F,22,13,11,6,2,6,0,0,0,0,0
4656CFA5A8AD701FBEF0A4B22DEC7123,2,0,0,0,0,0,0,0,0,0,0
17AC67BC8CCDA6672DE2523CE1D83B3F,10,2,0,0,1,2,0,0,0,0,0
937DEC758815AB88CD3FDE404009879D,8,0,0,0,0,1,0,0,0,0,0
D768C3C0513A24D6DF2110A37FE868DA,10,3,2,0,0,0,0,0,0,0,0
46AE1B2A500BC810A363BE6C9B56EFFA,91,3,2,0,0,2,1,0,0,0,1
3883FF0DFAB40ECD4EA781FC0D1CE18A,114,32,29,9,0,9,0,0,0,0,0
DC89D90D5DFB91ACC0F70A8831861F4D,22,5,3,1,1,1,1,0,0,0,1
370631465168E174D7D2305DC0DB120B,20,2,1,0,0,0,0,0,0,0,0
5370D50F371B1F37B4F2A387222D9AD1,4,1,1,0,0,0,0,0,0,0,0
87A95949D12E9C9263482FB202E791BD,45,12,11,5,0,5,3,0,0,0,3
BCE2A810C0ED8C84CC780FDB6BFD2CAF,20,0,0,0,0,8,0,0,0,1,0
19682EA2300D1B6326F14D0BAA1C1340,52,18,13,5,4,5,0,0,0,0,0
24CBD0F79E21603ABC4F6B1EDD4E50BC,11,6,2,0,3,0,0,0,0,0,0
FC68FD4C1949DC8B96F959281128FBC8,171,33,30,22,1,48,0,0,0,0,0
C5AAFE66FD99089AF97CA13A72687ABC,1,0,0,0,0,0,0,0,0,0,0
9640F670A49F4549E4541FE50EEB88D2,4,2,0,0,0,0,0,0,0,0,0
1C65943AF5217570A2E4D9B58B6E6FC4,27,5,5,5,2,5,2,0,0,0,0
05B57F40FB0403F6F6C3052D28244AB8,1,0,0,0,0,0,0,0,0,0,0
0D667187016A7A93F542C15F452F5F09,8,0,0,0,0,2,0,0,0,0,0
1B022A1C829F79C7F63AEE6E4C7ECBC3,27,1,0,0,0,4,3,0,0,0,3
0BD6EBD825E25260B49D17D255335496,2,1,0,0,0,0,0,0,0,0,0
DF2C3B7E8FB37490F6F265867863951C,13,3,3,1,0,1,0,0,0,0,0
ADBEFCA55EC84BD5D403A123B698DE94,96,23,23,17,12,17,0,0,0,0,0
B9EECE1AE27B3120715D959C3560BFD3,8,2,2,1,0,1,0,0,0,0,0
E53BC2A0AD86417B443AF14EE3082C0F,54,17,16,6,0,6,0,0,0,0,0
8299E83727DB46149AAD5F00F2A2608A,46,5,4,0,0,8,3,0,0,1,3
ED553D2BB4B37C2D7620A6D5BE7C0C8B,10,4,2,0,0,0,0,0,0,0,0
B7FB1C68C5CA02017076BB37ECD8D02A,11,4,2,1,0,1,0,0,0,0,0
A328A685EE92F31EE8F821757E643258,2,0,0,0,0,0,0,0,0,0,0
437E1E4F1A7DF0CC995FCE10EAC96350,7,4,2,2,0,6,0,0,0,0,0
0DAD8CFE0AE9C745B611DC432A985291,1,0,0,0,0,0,0,0,0,0,0
B2F9BBDD8C7ED6F86ADA0544B032948A,9,3,3,3,0,3,1,0,0,0,1
2C3A2B86472D14F6A974C092164C3ADA,45,14,13,9,1,9,0,0,0,0,0
17B78743249ED215A01B4B7995770EA7,1,0,0,0,0,0,0,0,0,0,0
